Anio,Mes,TEMP_N,PRES_S,MIX,Area,Fecha
2019,4,0.7,-1.3,0.3,0.4455,2019-04-01
2019,5,0.5,-9.0,0.2,0.5485,2019-05-01
2019,6,0.5,-10.4,0.4,0.441,2019-06-01
2019,7,0.3,-5.6,0.3,0.5,2019-07-01
2019,8,0.1,-4.4,0.3,0.509,2019-08-01
2019,9,0.2,-12.4,0.2,0.3705,2019-09-01
2019,10,0.3,-5.6,0.3,0.2145,2019-10-01
2019,11,0.5,-9.3,0.5,0.158,2019-11-01
2019,12,0.5,-5.5,0.4,0.1515,2019-12-01
2020,1,0.5,1.3,0.3,0.378,2020-01-01
2020,2,0.5,-2.2,0.3,0.4235,2020-02-01
2020,3,0.4,-5.2,0.1,0.4619999999999999,2020-03-01
2020,4,0.2,-0.5,-0.1,0.411,2020-04-01
2020,5,-0.1,2.8,-0.2,0.484,2020-05-01
2020,6,-0.3,-9.6,-0.7,0.5035,2020-06-01
2020,7,-0.4,4.2,-0.9,0.421,2020-07-01
2020,8,-0.6,9.8,-1.0,0.403,2020-08-01
2020,9,-0.9,10.5,-1.1,0.212,2020-09-01
2020,10,-1.2,4.2,-1.2,0.0905,2020-10-01
2020,11,-1.3,9.2,-1.1,0.06,2020-11-01
2020,12,-1.2,16.9,-1.1,0.0775,2020-12-01
2021,1,-1.0,16.5,-1.2,0.2655,2021-01-01
2021,2,-0.9,11.5,-1.0,0.299,2021-02-01
2021,3,-0.8,-0.3,-0.8,0.331,2021-03-01
2021,4,-0.7,2.0,-0.9,0.302,2021-04-01
2021,5,-0.5,3.6,-1.1,0.41,2021-05-01
2021,6,-0.4,2.6,-1.0,0.5549999999999999,2021-06-01
2021,7,-0.4,15.9,-1.4,0.3435,2021-07-01
2021,8,-0.5,4.6,-1.3,0.8175,2021-08-01
2021,9,-0.7,9.3,-1.4,0.4745,2021-09-01
2021,10,-0.8,6.7,-1.5,0.1965,2021-10-01
2021,11,-1.0,12.5,-1.4,0.1555,2021-11-01
2021,12,-1.0,13.8,-1.2,0.238,2021-12-01
2022,1,-1.0,4.1,-1.0,0.443,2022-01-01
2022,2,-0.9,8.2,-1.0,0.406,2022-02-01
2022,3,-1.0,13.8,-1.3,0.446,2022-03-01
2022,4,-1.1,22.6,-1.6,0.483,2022-04-01
2022,5,-1.0,17.1,-1.6,0.495,2022-05-01
2022,6,-0.9,21.2,-1.9,0.4535,2022-06-01
2022,7,-0.8,8.7,-2.2,0.286,2022-07-01
2022,8,-0.9,9.1,-1.7,0.4355,2022-08-01
2022,9,-1.0,18.3,-1.7,0.2445,2022-09-01
2022,10,-1.0,17.7,-1.7,0.071,2022-10-01
2022,11,-0.9,4.6,-1.5,0.064,2022-11-01
2022,12,-0.8,20.0,-1.3,0.1855,2022-12-01
